,city,job_title,company_name,location,summary,rating
48,San+Diego,Intern - Information Security: Application Security,Teradata,"San Diego, CA",Design and implement solutions to integrate security tooling into the software development lifecycle Build proof of concept code to help developers understand…,3.8
49,San+Diego,Big Data SME,Enhance IT,California,"Hands on experience in big data technologies including Scala or Spark, Hadoop, Hive, HDFS.",3.1
50,San+Diego,"Software Engineer 2, Big Data",Intuit,"San Diego, CA 92101",Design and develop big data and real-time analytics solutions using industry standard technologies.,4.2
51,San+Diego,Data Visualization Developer,1POINT21 Interactive,N/A,2+ years of experience as a data scientist or data visualization specialist.,N/A
52,San+Diego,EHR Developer,San Ysidro Health,N/A,"Knowledge of Electronic Health Records Systems, Health Care Specific Data Interface standards, and health information exchange technologies a big plus.",3.7
53,San+Diego,Sr BI Developer,"NuVasive, Inc.",N/A,Help with design of data marts & data models by integrating data sources from desperate systems.,3.4
54,San+Diego,Full Stack Software Developer,Chatmeter,N/A,"Established in 2009, Chatmeter now analyzes billions of customer reviews, social media mentions, and sentiments from hundreds of sources to help businesses keep…",3.4
55,San+Diego,Sr. ETL Developer,"NuVasive, Inc.",N/A,Implement data virtualization / data integration approaches to help with data discovery/ data prep activities for data scientists and data stewards.,3.4
56,San+Diego,Machine Learning Developer,Realty Income Corporation,N/A,"Understanding of data structures, data modeling and software architecture.",4.3
57,San+Diego,Senior Big Data Engineer,Lytx,N/A,"Mentor and coach junior engineers, software developers, and data analysts.",3.7
58,San+Diego,Backend Developer | California,Photon,N/A,§ Experience using big data databases such as Hadoop with Apache Spark.,3.3
59,San+Diego,Data Engineer,Guild Mortgage Company LLC,N/A,"Responsibilities include supporting software developer, database architects, data analysts and data scientists on various data initiatives as well as ensuring…",N/A
60,San+Diego,"Full Stack .NET Desktop Software Developer (C#, WPF, Azure)",Power Line Reporting,N/A,Most of our products are 'factory' type applications which convert and manipulate data from one format to another.,N/A
61,Dallas,Big Data/Spark Developer,Infosys Limited,"Dallas, TX","Support ETL developers by providing technical assistance, troubleshooting and alternative development solutions.",3.9
62,Dallas,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
63,Dallas,Data Architect II,GM Financial,"Arlington, TX 76014 (East area)","Perform a variety of in-depth data analysis, data modeling and data administration tasks on complicated datasets with potentially complex data integration…",3.6
64,Dallas,"Technology Analyst Program - Software Developer/Programmer/Data Analyst (Location: Dallas, TX)",Freddie Mac,"Dallas, TX 75201","Have basic knowledge of databases, data structures and be able to think logically.",3.8
65,Dallas,Data Engineer,Event Dynamic,"Dallas, TX (Oak Lawn area)","Collaborates with data scientists, developers and teams to review data.",N/A
66,Dallas,Data Analytics Developer,Eide Bailly,N/A,"You will transform data through applying business rules, auditing and staging data.",3.9
67,Dallas,Sr. Data Analyst,BaronHR Staffing,"Dallas, TX","The Sr. Data Analyst is responsible for performing data analysis, discover data anomalies, data quality improvements, system analysis, and data mapping.",3.7
68,Dallas,Big Data Developer,State Farm,N/A,Work with datasets containing mixes of structured and unstructured data.,3.7
69,Dallas,Big Data Developer,First Soft Solutions [ Direct],N/A,To be able to work with cloud computing environments Gather and process raw data at scale including writing scripts web scraping calling APIs write SQL queries…,N/A
70,Dallas,SQL Developer,"MatchSource, LLC","Dallas, TX",Knowledge and experience with performance and scalability tuning of big data analytics solutions.,N/A
71,Dallas,Sr. Big Data Developer,MRoads,N/A,Excellent systems and data analysis skills.,3.2
72,Dallas,"Corporate Functions, Information Systems & Technology, Early Career Development Program (ECDP)",Apple,N/A,"Programming knowledge in at least one of the following areas: Server side development (Java), Web development (JavaScript, HTML, CSS3) or iOS development …",4.2
73,Dallas,Senior Big Data Engineer,TCS,N/A,Must be able to perform performance optimization of existing data pipelines by identifying bottlenecks and resolving them.,3.8
74,Dallas,Big Data Engineer,"JPMorgan Chase Bank, N.A.",N/A,Work with a team of engineers and developers to deliver against the overall technology data strategy.,3.9
75,Dallas,Software Developer - Big Data,Big Dossier,N/A,"DevOps mindset, utilizes agile software development practices, data and testing standards, code reviews, source code management, continuous delivery, and…",N/A
76,Denver,Tableau Admin/Developer,CORHIO,"Denver, CO 80246 (Southeastern Denver area)","Demonstrated experience in working with relational (and/or hierarchical), big data databases (Mongo/SQL).",4.3
77,Denver,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
78,Denver,Rails Developer,Placewise,"Denver, CO 80204 (Central Business District area)",Rails developer with React experience.,N/A
79,Denver,Data Analyst - ETL and General Analysis,SimioCloud,"Westminster, CO 80021",Consult with developers and other data people as well as non-technical marketing partners and clients.,N/A
80,Denver,Data Programmer 1,Epsilon,"Westminster, CO 80020",The primary responsibility is to run and manage applications in support of clients and partners.,3.4
81,Denver,Sr. Data Warehouse Developer,ClientSolv Technologies,"Greenwood Village, CO 80111","Minimum of 10 years of experience delivering data solutions on a variety of data warehousing, big data and cloud data platforms.",4.0
82,Denver,Big Data Engineer,ClientSolv Technologies,"Englewood, CO",Optimizing our data and data pipeline architecture.,4.0
83,Denver,"Sr. Big Data Developer (Leadership + Java, Scala, Spark, Springboot, AWS)",Computer Enterprises Incorporated,"Englewood, CO 80112","Docker, Kubernetes and big data are a plus.",N/A
84,Denver,Big Data Developer,ClientSolv Technologies,N/A,"Gather and understand data requirements, work in the team to achieve high quality data ingestion and build systems that can process the data, transform the data…",4.0
85,Denver,Data Engineer,TEKsystems,"Denver, CO 80012",Experience in implementing big data solutions using AWS services.,3.9
86,Denver,Data Engineering Internship,"VIZIO, Inc.",N/A,"This individual will support our software developers, data analysts, and data scientists on data initiatives and will ensure optimal data delivery.",N/A
87,Denver,Senior Software Developer (Big Data engineer (odc_prod-dev_us),Oracle,N/A,"Experience with big data tools (Oracle Exadata, Spark, Hive, etc).",3.8
